Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
21,Non-Travel,Sales,19,3,Technical Degree,4,Female,2,Manager,1,Married,6238,1,Yes,10,2,4,1,18,4,1,31,16,12,2,No
40,Rarely,Research & Development,9,1,Medical,2,Male,4,Manager,3,Married,18924,0,Yes,17,1,1,0,29,2,2,19,7,10,18,Yes
51,Frequently,Sales,25,2,Other,4,Male,4,Sales Executive,1,Married,14305,7,Yes,24,1,1,1,7,0,2,19,0,5,1,No
41,Rarely,Human Resources,24,2,Other,1,Female,5,Laboratory Technician,4,Married,1191,3,Yes,22,2,1,1,24,4,3,7,8,10,12,No
30,Rarely,Research & Development,22,3,Other,1,Male,5,Manager,1,Married,13684,9,No,17,3,2,1,32,2,4,31,5,0,13,No
35,Frequently,Human Resources,15,4,Medical,3,Female,4,Manager,4,Single,17261,8,No,10,2,4,1,5,4,4,2,9,4,5,No
28,Rarely,Human Resources,23,3,Marketing,1,Male,5,Research Scientist,2,Married,6783,7,No,15,2,4,1,15,1,4,23,0,3,2,Yes
43,Frequently,Human Resources,25,2,Other,2,Female,3,Manager,1,Single,14385,4,Yes,17,3,4,1,15,2,4,29,7,12,8,No
42,Non-Travel,Sales,29,2,Other,4,Female,5,Manager,4,Married,13864,7,Yes,22,2,2,1,12,3,2,16,0,14,18,No
58,Frequently,Sales,10,1,Other,2,Male,2,Sales Executive,4,Married,8400,4,No,16,2,3,1,22,3,4,20,14,11,0,No
40,Frequently,Research & Development,7,1,Other,3,Male,5,Sales Executive,3,Divorced,17289,4,No,10,4,3,2,24,2,4,15,14,13,12,No
34,Non-Travel,Human Resources,1,2,Life Sciences,3,Male,2,Laboratory Technician,1,Divorced,13254,4,No,15,2,2,0,37,3,2,14,5,11,4,No
49,Rarely,Sales,26,4,Other,3,Female,2,Human Resources,4,Married,16579,0,No,14,1,1,1,16,2,3,19,9,1,13,No
56,Frequently,Human Resources,22,4,Other,4,Female,5,Laboratory Technician,1,Married,15877,3,Yes,21,1,1,2,4,4,1,4,12,10,1,No
52,Rarely,Research & Development,17,4,Life Sciences,3,Male,2,Manager,4,Divorced,6543,2,Yes,20,1,4,2,28,3,2,6,0,12,11,Yes
56,Frequently,Research & Development,18,3,Medical,2,Female,1,Sales Executive,1,Married,9954,0,Yes,15,2,4,1,17,4,4,14,19,3,9,No
25,Rarely,Sales,23,4,Technical Degree,3,Male,2,Research Scientist,3,Single,18809,4,Yes,20,3,2,1,0,3,3,31,2,12,2,No
